2026-09-12, 20:48:47.039143, 88000000, 93000000, 238095.24, 84, -8.89, -18.46, -32.83, -47.63, -48.91, -71.31, -61.10, -58.96, -61.10, -56.54, -44.38, -41.48, -55.74, -46.62, -43.42, -46.61, -51.39, -46.55, -45.74, -50.38, -45.53
2026-09-12, 20:48:47.039143, 98000000, 103000000, 238095.24, 84, -55.97, -53.06, -60.26, -58.89, -60.24, -59.79, -61.29, -47.01, -42.69, -48.39, -63.22, -60.26, -57.66, -52.46, -65.04, -50.24, -48.98, -48.34, -54.96, -47.61, -44.31
2026-09-12, 20:48:47.039143, 93000000, 98000000, 238095.24, 84, -49.29, -48.04, -52.09, -46.78, -46.14, -57.39, -53.07, -47.81, -51.75, -57.92, -59.84, -51.40, -46.42, -46.89, -48.04, -57.66, -64.44, -55.18, -52.20, -52.55, -52.87
2026-09-12, 20:48:47.039143, 103000000, 108000000, 238095.24, 84, -53.21, -53.64, -54.33, -53.80, -56.83, -56.51, -57.92, -53.69, -52.33, -60.52, -55.35, -55.15, -57.24, -60.80, -61.55, -59.22, -51.12, -46.75, -45.44, -48.06, -29.90
2026-09-12, 20:48:47.039143, 108000000, 113000000, 238095.24, 84, -54.16, -54.13, -55.49, -53.00, -53.42, -60.20, -59.92, -62.12, -56.03, -53.86, -51.23, -52.24, -51.84, -55.08, -57.23, -56.20, -56.21, -52.87, -66.12, -53.48, -65.86
2026-09-12, 20:48:47.039143, 118000000, 123000000, 238095.24, 84, -52.85, -49.76, -52.02, -58.92, -56.09, -69.73, -59.89, -44.00, -40.42, -48.51, -61.36, -51.99, -54.69, -64.93, -57.45, -72.04, -52.65, -65.05, -55.84, -54.00, -60.12
2026-09-12, 20:48:47.039143, 113000000, 118000000, 238095.24, 84, -46.89, -48.68, -48.26, -49.42, -50.82, -50.28, -51.42, -51.78, -51.02, -50.04, -49.54, -50.25, -55.08, -58.02, -52.05, -48.90, -48.77, -50.91, -52.94, -53.40, -51.94
2026-09-12, 20:48:47.039143, 123000000, 128000000, 238095.24, 84, -48.18, -46.33, -45.12, -44.62, -44.76, -44.09, -44.37, -44.04, -43.51, -43.54, -43.50, -43.89, -44.38, -45.20, -44.49, -44.67, -45.13, -44.80, -43.79, -42.70, -43.98
2026-09-12, 20:48:47.039143, 88000000, 93000000, 238095.24, 84, -7.05, -12.95, -35.43, -49.38, -59.87, -50.07, -55.79, -61.14, -60.04, -58.20, -46.31, -40.88, -44.79, -51.48, -53.34, -58.88, -46.57, -48.48, -46.91, -49.04, -42.16
2026-09-12, 20:48:47.039143, 98000000, 103000000, 238095.24, 84, -57.12, -53.55, -49.81, -52.40, -56.53, -58.37, -60.94, -63.90, -44.88, -49.48, -62.20, -63.39, -49.75, -61.23, -51.71, -58.81, -57.75, -54.89, -52.26, -50.78, -43.64
2026-09-12, 20:48:47.039143, 93000000, 98000000, 238095.24, 84, -44.06, -44.92, -48.09, -47.80, -52.53, -53.81, -50.29, -50.29, -49.11, -44.47, -46.18, -45.14, -47.77, -53.03, -59.94, -50.10, -50.85, -54.87, -61.47, -53.38, -57.93
2026-09-12, 20:48:47.039143, 103000000, 108000000, 238095.24, 84, -60.84, -52.81, -53.31, -52.05, -48.34, -47.96, -54.70, -64.15, -57.55, -58.19, -61.90, -55.57, -54.90, -58.78, -57.50, -54.00, -49.43, -49.09, -51.67, -48.66, -31.20
2026-09-12, 20:48:47.039143, 108000000, 113000000, 238095.24, 84, -63.04, -56.61, -61.53, -64.66, -55.64, -50.64, -53.92, -60.15, -72.31, -62.20, -59.13, -55.49, -53.70, -58.89, -62.70, -51.03, -51.44, -60.57, -66.37, -72.71, -55.01
2026-09-12, 20:48:47.039143, 118000000, 123000000, 238095.24, 84, -59.69, -57.56, -50.68, -50.87, -52.64, -55.12, -55.78, -44.82, -39.91, -44.13, -56.80, -49.38, -53.71, -67.58, -76.24, -60.28, -52.65, -53.34, -53.12, -49.75, -48.67
2026-09-12, 20:48:47.039143, 113000000, 118000000, 238095.24, 84, -53.28, -53.58, -58.16, -63.02, -67.46, -55.98, -54.99, -58.89, -57.88, -54.86, -53.98, -54.16, -54.71, -52.97, -54.27, -56.91, -60.56, -74.30, -57.54, -51.51, -49.20
2026-09-12, 20:48:47.039143, 123000000, 128000000, 238095.24, 84, -51.36, -50.41, -49.83, -49.15, -47.07, -45.71, -45.34, -45.57, -46.54, -49.72, -54.01, -49.44, -47.80, -45.26, -44.82, -45.27, -44.46, -44.03, -43.83, -44.74, -49.27
